SeasonEpisode,Baker,Star Baker,Did well,Safe,At risk,Eliminated,Absent,Handshake
s10e1,Steph,0,1,0,0,0,0,0
s10e1,Priya,0,0,1,0,0,0,0
s10e1,DavidA,0,0,1,0,0,0,0
s10e1,Alice,0,0,1,0,0,0,0
s10e1,Jamie,0,0,0,1,0,0,0
s10e1,Helena,0,0,1,0,0,0,0
s10e1,DanC,0,0,0,0,1,0,0
s10e1,Henry,0,0,1,0,0,0,0
s10e1,MichaelC,0,0,1,0,0,0,0
s10e1,Rosie,0,0,1,0,0,0,0
s10e1,Michelle,1,0,0,0,0,0,0
s10e1,Phil,0,0,1,0,0,0,0
s10e1,Amelia,0,0,1,0,0,0,0
s10e2,MichaelC,0,0,1,0,0,0,0
s10e2,Alice,1,0,0,0,0,0,0
s10e2,Priya,0,0,1,0,0,0,0
s10e2,Jamie,0,0,0,0,1,0,0
s10e2,Amelia,0,0,0,1,0,0,0
s10e2,Rosie,0,1,0,0,0,0,0
s10e2,Steph,0,0,1,0,0,0,0
s10e2,Phil,0,0,1,0,0,0,0
s10e2,Henry,0,0,1,0,0,0,0
s10e2,DavidA,0,1,0,0,0,0,0
s10e2,Michelle,0,0,1,0,0,0,0
s10e2,Helena,0,0,1,0,0,0,0
s10e3,DavidA,0,0,1,0,0,0,0
s10e3,Priya,0,0,1,0,0,0,0
s10e3,Michelle,0,0,1,0,0,0,0
s10e3,Amelia,0,0,0,0,1,0,0
s10e3,Helena,0,0,1,0,0,0,0
s10e3,MichaelC,1,0,0,0,0,0,1
s10e3,Rosie,0,0,1,0,0,0,0
s10e3,Henry,0,0,0,1,0,0,0
s10e3,Steph,0,1,0,0,0,0,0
s10e3,Alice,0,0,0,1,0,0,0
s10e3,Phil,0,0,1,0,0,0,0
s10e4,DavidA,0,1,0,0,0,0,0
s10e4,MichaelC,0,0,0,1,0,0,0
s10e4,Henry,0,0,1,0,0,0,0
s10e4,Helena,0,0,1,0,0,0,0
s10e4,Steph,1,0,0,0,0,0,0
s10e4,Michelle,0,0,1,0,0,0,0
s10e4,Rosie,0,0,1,0,0,0,0
s10e4,Alice,0,0,1,0,0,0,0
s10e4,Phil,0,0,0,0,1,0,0
s10e4,Priya,0,0,0,1,0,0,0
s10e5,MichaelC,0,0,1,0,0,0,0
