Season,Baker,Age,Gender,Image Link
1,Annetha,30,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_8_450-450x450.jpg
1,DavidC,31,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_10_450-450x450.jpg
1,Edd,24,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_4_450-450x450.jpg
1,Jasminder,45,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_2_450-450x450.jpg
1,Jonathan,25,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_3_450-450x450.jpg
1,Lea,51,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_9_450-450x450.jpg
1,LouiseB,44,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_7_450-450x450.jpg
1,MarkW,48,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_1_450-450x450.jpg
1,Miranda,37,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_5_450-450x450.jpg
1,Ruth,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s1_6_450-450x450.jpg
2,Ben,31,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/ben-detail-370x299.jpg
2,Holly,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/holly-detail-370x299.jpg
2,IanV,40,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/ian-detail-370x299.jpg
2,Janet,63,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/janet-detail-370x299.jpg
2,Jason,19,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/jason-detail-370x299.jpg
2,Jo,41,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/joanne-detail-370x299.jpg
2,Keith,31,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/keith-detail-370x299.jpg
2,Mary-Anne,45,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/mary-anne-detail-370x299.jpg
2,Robert,25,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/robert-detail-370x299.jpg
2,Simon,31,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/simon-detail-370x299.jpg
2,Urvashi,40,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/urvashi-detail-370x299.jpg
2,Yasmin,43,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/yasmin-detail-370x299.jpg
3,Brendan,63,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/brendan-large1-370x300.jpg
3,Cathryn,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/cathryn-large1-370x300.jpg
3,Danny,45,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/danny-large1-370x300.jpg
3,JamesM,21,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/james-large1-370x300.jpg
3,John,22,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/john-large1-370x300.jpg
3,Manisha,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/manisha-large1-370x300.jpg
3,Natasha,36,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/natasha-large1-370x300.jpg
3,PeterM,43,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/peter-large1-370x300.jpg
3,Ryan,38,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/ryan-large1-370x300.jpg
3,Sarah-Jane,28,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/sarah-large1-370x300.jpg
3,Stuart,26,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/stuart-large1-370x300.jpg
3,Victoria,50,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/victoria-large1-370x300.jpg
4,Ali,25,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_5_450-450x450.jpg
4,Beca,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_2_450-450x450.jpg
4,Christine,66,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_3_450-450x450.jpg
4,Deborah,51,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_4_450-450x450.jpg
4,Frances,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_11_450-1-450x450.jpg
4,Glenn,37,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_1_450-450x450.jpg
4,Howard,51,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_13_450-450x450.jpg
4,Kimberley,30,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_6_450-450x450.jpg
4,Lucy,38,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_7_450-450x450.jpg
4,MarkO,37,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_10_450-450x450.jpg
4,Rob,54,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_12_450-450x450.jpg
4,RubyT,20,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_9_450-450x450.jpg
4,Toby,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/s4_8_450-450x450.jpg
5,Chetna,35,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/CHETNA-320-370x304.jpg
5,Claire,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/CLAIRE-320-370x304.jpg
5,Diana,69,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/DIANA%E2%80%93320-370x304.jpg
5,Enwezor,39,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/ENWEZOR-320-370x304.jpg
5,Iain,31,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/IAIN-320-370x304.jpg
5,Jordan,32,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/JORDAN-320-370x304.jpg
5,KateH,41,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/KATE-320-370x304.jpg
5,Luis,42,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/LUIS-320-370x304.jpg
5,Martha,17,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/MARTHA-320-370x304.jpg
5,Nancy,60,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NANCY-320-370x304.jpg
5,Norman,66,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NORMAN-320-370x307.jpg
5,Richard,38,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/RICHARD-320-370x304.jpg
