Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),MyRating (out of 10),MyViewership
8/17/2010,1,1,Cake,Cake,180,Victoria Sandwich,,Chocolate Celebration Cake,,8,8.57
8/24/2010,1,2,Biscuit,Personality Biscuits,120,Scones,60,"Meringue, Choux, and Macaron Petits Fours",240,7.8,11.14
8/31/2010,1,3,Bread,Signature Bread,210,Cob,150,12 Sweet and 12 Savoury Rolls,360,7.9,11.47
9/7/2010,1,4,Pudding,Classic Pudding,150,Mini Hot Lemon Soufflés,40,"Crumble, Bread, & Suet Puddings",300,7.7,11.03
9/14/2010,1,5,Pastry,Savoury Pie,150,Cornish Pasties,90,Savory Canapés and Sweet Tartlets,300,7.8,11.93
9/21/2010,1,6,Final,24 Professional Tea Cakes,150,n/a,,96 Petit Fours,300,7.7,11.4
8/16/2011,2,1,Cake,24 Cupcakes,120,Coffee and Walnut Battenberg,120,Chocolate Tiered Cake,300,7.8,11.5
8/23/2011,2,2,Tarts,Quiche,120,Tarte au Citron,90,24 Miniature Sweet Tarts,,8,12.6
8/30/2011,2,3,Bread,Free Form Loaf,195,Focaccia,210,12 Sweet and 12 Savoury Rolls,300,7.8,12.85
9/6/2011,2,4,Biscuit,12 Biscuits,90,24 Brandy Snaps,90,3 Flavor Macaron Display,300,7.7,13.11
9/13/2011,2,5,Pies,Family Pie,150,6 Miniature Pork Pies,150,Meringue Pie,210,8,13.81
9/20/2011,2,6,Desserts,Baked Cheesecake,150,Chocolate Roulade,105,Croquembouche,300,7.9,14.41
9/27/2011,2,7,Pâtisserie,Layered Mousse Cake,120,12 Iced Fingers,,3 Types of Pastries,,7.7,15.62
10/4/2011,2,8,Final,12 Mille-Feuille,150,Sachertorte,160,3 Types of Petits Fours,240,8.1,17.16
8/14/2012,3,1,Cake,Upside Down Cake,120,4 Rum Babas,180,Hidden Design Cake,300,8.5,15.72
8/21/2012,3,2,Bread,12 Flatbreads,150,Eight-strand Plaited Loaf,120,12 Sweet and 12 Savoury Bagels,240,8.4,17.08
8/28/2012,3,3,Tarts,Tarte Tatin,150,Treacle Tart,120,Designer Fruit Tart,180,7.9,17.49
9/4/2012,3,4,Desserts,Wheat-free Torte Cake,180,Crème Caramel,165,4 Layered Meringue Dessert,,7.8,16.61
9/11/2012,3,5,Pies,Wellington,180,Hand-raised Pie,135,Family-sized American Pie,210,8,16.79
9/18/2012,3,6,Pudding,2 Sponge Puddings,120,Queen Of Puddings,,Strudel,210,8.2,16.86
9/25/2012,3,7,Sweet Dough,24 Sweet Buns,180,10 Jam Doughnuts,150,Celebratory Loaf,,8.1,17.12
10/2/2012,3,8,Biscuit,48 Crackers,120,6 Chocolate Teacakes,120,Gingerbread Structure,240,8.1,17.96
10/9/2012,3,9,Pâtisserie,3 Types of Petits Fours,,Frasier Cake,150,Choux Pastry Gâteau,,7.9,18.45
10/16/2012,3,10,Final,Pithivier,150,25 Fondant Fancies,150,Chiffon Cake,240,8,22.05
8/20/2013,4,1,Cake,Sandwich Cake,120,Angel Food Cake,150,Chocolate Cake,240,7.9,22.77
8/27/2013,4,2,Bread,36 Breadsticks,120,8 English Muffins,165,Decorative Loaf,240,8.2,23.93
9/3/2013,4,3,Desserts,Trifle,180,Floating Islands,90,24 Petits Fours,180,8,24.56
9/10/2013,4,4,Pies and Tarts,Double Crust Fruit Pie,120,12 Egg Custard Tarts,120,Filo Pie,240,7.7,23.31
9/17/2013,4,5,Biscuits and Traybakes,Favorite Traybake,120,18 Tuiles,90,Biscuit Tower,240,7.9,22.82
9/24/2013,4,6,Sweet Dough,Yeasted Tea Loaf,180,Apricot Couronne,165,24 European Sweet Buns,270,7.9,24.97
10/1/2013,4,7,Pastry,Suet Pudding,180,8 Religieuses,120,36 Sweet Puffed Pastries,240,8.1,25.6
10/8/2013,4,8,Alternative Ingredients,Wheat-free Loaf,180,Hazelnut Dacquoise,165,Dairy-free Vegetable Cake,240,7.7,24.78
10/15/2013,4,9,French Week,36 Canapés,150,Charlotte Royale,150,Opera Cake,150,7.8,26.89
10/22/2013,4,10,Final,Picnic Pie,180,6 Savory and 6 Sweet Pretzels,150,Three Tiered Wedding Cake,400,8,29.04
8/6/2014,5,1,Cake,Swiss Roll,150,Cherry Cake,120,36 Classic Miniature British Cakes,210,7.9,30.96
8/13/2014,5,2,Biscuit,36 Savoury Biscuits,120,18 Florentines,105,3D Biscuit Scene,240,8.1,30.13
8/20/2014,5,3,Bread,12 Rye Bread Rolls,210,4 Ciabattas,180,Filled Centrepiece Loaf,240,8.2,33.46
8/27/2014,5,4,Dessert,8 Self-saucing Puddings,120,Tiramisu Cake,150,Baked Alaska,270,8.3,36.23
9/3/2014,5,5,Pies and Tarts,Custard Tart,150,Mini Pear Pies,120,Three-tiered Pie,270,7.8,35.46
9/10/2014,5,6,European Cakes,Yeast-leavened Cake,180,Prinsesstårta,135,Dobos Torte,300,7.9,36.16
9/17/2014,5,7,Pastry,12 Savoury Parcels,105,Kougin-Amann,210,24 Éclairs,240,8.1,36.26
9/24/2014,5,8,Advanced Dough,Fruit Loaf,150,Povitica,150,36 Doughnuts,240,8.5,34.82
10/1/2014,5,9,Pâtisserie,24 Baklava,210,Schichttorte,120,24 Entremets,300,7.9,37.33
10/8/2014,5,10,Final,Viennoiserie,210,"12 Mini Victoria Sandwiches, 12 Mini Tarte au Citron, 12 Mini Scones",120,Pièce Montée,300,8.3,46.68
8/5/2015,6,1,Cake,Madeira Cake,120,Frosted Walnut Layer Cake,105,Black Forest Gâteau,210,7.8,43.14
8/12/2015,6,2,Biscuit,24 Biscotti,120,8 Arlettes,150,36 Biscuits and an Edible Biscuit Box,240,8,43.03
8/19/2015,6,3,Bread,2 Quick Breads,90,4 Baguettes,150,3D Bread Sculpture,300,7.8,42.81
8/26/2015,6,4,Dessert,12 Crème Brûlées,120,Spanische Windtorte,240,Three-tiered Cheesecake,270,8.2,44.13
9/2/2015,6,5,Alternative Ingredients,Sugar-free Cake,150,12 Gluten-free Pita Bread,120,Dairy-free Ice Cream Roll,270,8,44.23
9/9/2015,6,6,Pastry,Frangipane Tart,120,12 Flaounes,120,48 Vol-au-Vents,225,7.8,44.11
9/16/2015,6,7,Victorian,Raised Game Pie,180,Tennis Cake,180,Charlotte Russe,330,7.7,43.21
9/23/2015,6,8,Pâtisserie,24 Cream Horns,210,9 Mokatines,120,Religieuse à L'Ancienne,240,8,42.12
9/30/2015,6,9,Chocolate,Chocolate Tart,150,Chocolate Soufflé,75,Chocolate Centrepieces,240,8.3,46.97
10/7/2015,6,10,Final,16 Iced Buns,180,Mille-Feuille,120,Classic British Cake,240,8.6,52.58
8/24/2016,7,1,Cake,Drizzle Cake,120,12 Jaffa Cakes,,Mirror Glaze Cake,,8.1,49.11
8/31/2016,7,2,Biscuit,24 Iced Biscuits,150,12 Viennese Whirls,90,Gingerbread 3D Scene,240,7.7,48.5
9/7/2016,7,3,Bread,Chocolate Loaf,150,Dampfnudel,120,Savoury Plaited Centrepiece,240,8.3,46.37
